scene,psf_config,assumed_fwhm_m,snr,noise_std,lam,noise_model,rmse_vs_no_psf,rmse_std,noise_penalty,noise_penalty_std,regularization_noise_gain,regularization_noise_gain_std,regularization_noise_gain_pct,regularization_noise_gain_pct_std,n_realizations,n_cells
agriculture,matched,12.5,5.0,0.026345751984639027,0.0,correlated,0.032120161784044324,2.4653148922523536e-05,0.01662159436090834,2.4653148922523885e-05,0.0,0.0,0.0,0.0,10,169654
agriculture,matched,12.5,5.0,0.026345751984639027,0.0,white,0.08139154534351571,0.0002682220137050128,0.06589297792037974,0.000268222013705014,0.0,0.0,0.0,0.0,10,169654
agriculture,matched,12.5,5.0,0.026345751984639027,0.001,correlated,0.032120251780601836,2.4447037825765454e-05,0.016611771076960345,2.4447037825765325e-05,9.823283947996142e-06,8.88422924677988e-07,0.030582462170659592,0.002759884756491792,10,169654
agriculture,matched,12.5,5.0,0.026345751984639027,0.001,white,0.07978383583941359,0.00024705961975657277,0.0642753551357721,0.00024705961975657277,0.0016176227846076336,2.2593008240752683e-05,1.9873995840658059,0.021811970881750308,10,169654
agriculture,matched,12.5,5.0,0.026345751984639027,0.01,correlated,0.03214288488832583,2.3868670482450548e-05,0.016508150166607775,2.3868670482451236e-05,0.0001134441943005618,5.101526863905206e-06,0.35318426282941817,0.015814195094155867,10,169654
agriculture,matched,12.5,5.0,0.026345751984639027,0.01,white,0.06943320383082383,0.0001356547119335163,0.053798469109105775,0.00013565471193351689,0.012094508811273958,0.00014540437777192018,14.859298372023645,0.1332018502715766,10,169654
agriculture,matched,12.5,5.0,0.026345751984639027,0.1,correlated,0.03262994562076345,2.4450346727826536e-05,0.015442044133469718,2.4450346727827376e-05,0.001179550227438622,1.2717319652927026e-05,3.672299210400537,0.0389156566196517,10,169654
agriculture,matched,12.5,5.0,0.026345751984639027,0.1,white,0.043506290871788394,4.631244298394732e-05,0.026318389384494656,4.631244298394842e-05,0.039574588535885066,0.0002718037055983316,48.62197755997924,0.17909066778742364,10,169654
agriculture,matched,12.5,5.0,0.026345751984639027,1.0,correlated,0.0343738461033911,3.6333297953688156e-05,0.012241202084679933,3.63332979536879e-05,0.004380392276228407,3.430388575626113e-05,13.637503201750338,0.10441494001583965,10,169654
agriculture,matched,12.5,5.0,0.026345751984639027,1.0,white,0.029657624904366166,5.3905095675774716e-05,0.0075249808856549995,5.3905095675775604e-05,0.05836799703472473,0.00028054456377980466,71.71230064462347,0.12162183149015687,10,169654
agriculture,matched,12.5,10.0,0.013172875992319514,0.0,correlated,0.020933971668458284,8.497691614620576e-06,0.005435404245322304,8.497691614620692e-06,0.0,0.0,0.0,0.0,10,169654
agriculture,matched,12.5,10.0,0.013172875992319514,0.0,white,0.04283823888422959,0.0001309524766106313,0.02733967146109361,0.0001309524766106328,0.0,0.0,0.0,0.0,10,169654
agriculture,matched,12.5,10.0,0.013172875992319514,0.001,correlated,0.020939124935055738,8.399933320177977e-06,0.005430644231414243,8.399933320177688e-06,4.760013908060301e-06,6.542353110128359e-07,0.022738016345461205,0.0031230221233912734,10,169654
agriculture,matched,12.5,10.0,0.013172875992319514,0.001,white,0.042083121436856004,0.000122421746273699,0.02657464073321451,0.00012242174627370033,0.0007650307278791055,9.863980449374993e-06,1.7858189225796373,0.0184769452368797,10,169654
agriculture,matched,12.5,10.0,0.013172875992319514,0.01,correlated,0.02101630829865426,8.582753682347443e-06,0.0053815735769362025,8.582753682347569e-06,5.3830668386100486e-05,3.70781821857377e-06,0.2571438085616481,0.01768918080485529,10,169654
agriculture,matched,12.5,10.0,0.013172875992319514,0.01,white,0.03726606611498538,7.777307129373248e-05,0.02163133139326732,7.777307129373287e-05,0.005708340067826291,6.311953486954358e-05,13.325079192469625,0.11166151586017249,10,169654
agriculture,matched,12.5,10.0,0.013172875992319514,0.1,correlated,0.022084707310068813,1.121057130558061e-05,0.004896805822775078,1.121057130558068e-05,0.0005385984225472252,8.721854977222888e-06,2.572842004018323,0.041512944680883665,10,169654
agriculture,matched,12.5,10.0,0.013172875992319514,0.1,white,0.0263406055640932,2.6468662610847025e-05,0.009152704076799464,2.64686626108473e-05,0.01818696738429415,0.0001307837844125132,42.45451652239994,0.18062743844229753,10,169654
agriculture,matched,12.5,10.0,0.013172875992319514,1.0,correlated,0.025741442428887363,2.5651114595249592e-05,0.0036087984101761924,2.565111459524917e-05,0.001826605835146111,2.39552633167557e-05,8.725560491091269,0.1145802550196333,10,169654
agriculture,matched,12.5,10.0,0.013172875992319514,1.0,white,0.024229980495709232,2.4261687587439822e-05,0.002097336476998066,2.4261687587439527e-05,0.02524233498409555,0.0001353497983016547,58.92441199954641,0.14278574035985236,10,169654
agriculture,matched,12.5,20.0,0.006586437996159757,0.0,correlated,0.01702503879939422,5.647886281985435e-06,0.0015264713762582383,5.647886281986791e-06,0.0,0.0,0.0,0.0,10,169654
agriculture,matched,12.5,20.0,0.006586437996159757,0.0,white,0.02526259274815612,3.260726896374355e-05,0.009764025325020135,3.260726896374377e-05,0.0,0.0,0.0,0.0,10,169654
agriculture,matched,12.5,20.0,0.006586437996159757,0.001,correlated,0.01703316564905511,5.449594566214421e-06,0.001524684945413619,5.44959456621411e-06,1.7864308446191578e-06,3.794146912132289e-07,0.010492599079251791,0.002226560055962694,10,169654
agriculture,matched,12.5,20.0,0.006586437996159757,0.001,white,0.024953154673661763,3.027701834103943e-05,0.00944467397002027,3.0277018341039606e-05,0.0003193513549998667,3.5284582013315758e-06,1.264118075055679,0.012896866021287003,10,169654
agriculture,matched,12.5,20.0,0.006586437996159757,0.01,correlated,0.01714225489357707,4.861382997576253e-06,0.001507520171859012,4.861382997576055e-06,1.8951204399226056e-05,2.1355790200340605e-06,0.111311742344155,0.012523367639321211,10,169654
agriculture,matched,12.5,20.0,0.006586437996159757,0.01,white,0.0230434996538313,2.0155718467311923e-05,0.007408764932113243,2.0155718467311753e-05,0.0023552603929068924,2.3254418299940985e-05,9.323043797192925,0.08289093596862253,10,169654
agriculture,matched,12.5,20.0,0.006586437996159757,0.1,correlated,0.01853776498766259,5.9465952803763e-06,0.0013498635003688533,5.946595280375793e-06,0.0001766078758893848,4.723003006843191e-06,1.0373391657252755,0.027618017275305606,10,169654
