scene,method,rmse,mae,bias,corr,r2,psnr_db,ssim
urban,psf_aware,1.0082150841629744e-05,6.1321795197244455e-06,2.1655566229128453e-11,0.9999999883226565,0.999999966209761,104.27598229253691,0.9999999770314172
urban,classical_nearest,0.005539024826169356,0.0001145131261724053,2.155897737428087e-05,0.9949690902199426,0.9898180060031068,49.47837987377539,0.9974469365243737
urban,classical_linear,0.012100473227187056,0.00730993922744627,1.5315936211828515e-05,0.9798870756486685,0.9514073120088954,42.6909990052685,0.9558690012526603
urban,classical_cubic,0.011972845410423021,0.006718499267301499,8.561884332987554e-06,0.9760469865134436,0.9524269535429195,42.78309860601187,0.9602321118158933
water,psf_aware,3.4751223722805503e-06,1.1139383957470272e-06,3.2521541015739786e-10,0.9999999958562013,0.9999999908053749,102.93830864041769,0.9999999943688384
water,classical_nearest,0.0010456680127996457,2.870655165121798e-05,-1.942478845102792e-06,0.9995814206909818,0.9991630050510222,53.3698342262626,0.9949452943575043
water,classical_linear,0.0042689442051239415,0.0012905581836880596,5.972734208427019e-06,0.9933587379664653,0.9860499376627829,41.151301114846774,0.9860403187524504
water,classical_cubic,0.004124362739260892,0.001152320877915023,6.333104515535874e-06,0.9934724499131085,0.9869788632383983,41.45057359444706,0.9882869779703203
forest,psf_aware,3.2809276050301953e-06,1.9105031583421805e-06,-1.3494059203367215e-09,0.9999999983356774,0.9999999964794164,100.42385124699878,0.9999999866668442
forest,classical_nearest,0.0010762400772019562,3.8700152956880986e-05,4.035495166614627e-06,0.999810723443806,0.9996214025002337,50.10560099243767,0.9911789785766006
forest,classical_linear,0.0041454636823042975,0.002307337766986946,-5.4507913987500315e-06,0.9973058285959887,0.9943829841373413,38.39232190486665,0.9663427971791637
forest,classical_cubic,0.00459282314074047,0.0023294197855182656,-1.0494541737137818e-05,0.9965489783497571,0.9931052445788345,37.502189758451664,0.9692913687862295
agriculture,psf_aware,2.8400722581078714e-06,1.5584813581881463e-06,-3.944649051845772e-10,0.9999999993880875,0.9999999987303217,102.33726375559732,0.9999999914318989
agriculture,classical_nearest,0.000808477935424889,3.0687724511990325e-05,1.3917521223422656e-06,0.9999486106228315,0.9998972163094848,53.2504881116487,0.9958164677018368
agriculture,classical_linear,0.003712258533373436,0.0019313238927346251,2.0126932266912512e-05,0.9989537421953418,0.9978329731517825,40.01108726407367,0.9838677372867549
agriculture,classical_cubic,0.004686522361765373,0.0020958321595021556,2.190159468819954e-05,0.9982724219488377,0.9965462630991967,37.98683767666839,0.9821504534774793
