scene,psf_config,assumed_fwhm_m,snr,noise_std,lam,noise_model,rmse_vs_no_psf,rmse_std,noise_penalty,noise_penalty_std,regularization_noise_gain,regularization_noise_gain_std,regularization_noise_gain_pct,regularization_noise_gain_pct_std,n_realizations,n_cells
agriculture,matched,12.5,5.0,0.026345751984639027,0.0,correlated,0.03212016179310069,2.465318753541185e-05,0.016621594563746882,2.4653187535411502e-05,0.0,0.0,0.0,0.0,10,169654
agriculture,matched,12.5,5.0,0.026345751984639027,0.0,white,0.08139154516782568,0.0002682221756377984,0.06589297793847186,0.00026822217563780024,0.0,0.0,0.0,0.0,10,169654
agriculture,matched,12.5,5.0,0.026345751984639027,0.001,correlated,0.032120251787781634,2.4447110765766017e-05,0.016611771253695725,2.4447110765765356e-05,9.823310051156747e-06,8.883453572644198e-07,0.030582543507866173,0.0027596437749351534,10,169654
agriculture,matched,12.5,5.0,0.026345751984639027,0.001,white,0.0797838353892916,0.0002470597083294153,0.0642753548552057,0.0002470597083294153,0.0016176230832661606,2.2593219656700298e-05,1.9873999549626422,0.02181226742906669,10,169654
agriculture,matched,12.5,5.0,0.026345751984639027,0.01,correlated,0.032142884923006064,2.386871929852261e-05,0.016508150522646706,2.386871929852205e-05,0.00011344404110017817,5.101402992065165e-06,0.3531837858437575,0.015813809757684236,10,169654
agriculture,matched,12.5,5.0,0.026345751984639027,0.01,white,0.06943320367213596,0.00013565467292909024,0.0537984692717766,0.0001356546729290897,0.01209450866669526,0.00014540450344978218,14.859298225738593,0.133201951333658,10,169654
agriculture,matched,12.5,5.0,0.026345751984639027,0.1,correlated,0.032629945634981464,2.4450351406437377e-05,0.015442044290836445,2.4450351406437252e-05,0.0011795502729104366,1.2717183231691766e-05,3.672299351017488,0.03891523292578021,10,169654
agriculture,matched,12.5,5.0,0.026345751984639027,0.1,white,0.043506290839479204,4.631242307206338e-05,0.026318389495334195,4.631242307206269e-05,0.03957458844313767,0.00027180383135126386,48.6219775504986,0.17909071708856672,10,169654
agriculture,matched,12.5,5.0,0.026345751984639027,1.0,correlated,0.03437384612574575,3.6333308343826904e-05,0.012241202130191283,3.633330834382655e-05,0.004380392433555601,3.430377794006343e-05,13.63750368800901,0.10441463751654828,10,169654
agriculture,matched,12.5,5.0,0.026345751984639027,1.0,white,0.029657624928341748,5.390507791456788e-05,0.0075249809327872785,5.390507791456794e-05,0.05836799700568458,0.00028054470297397664,71.71230076345968,0.12162184925407138,10,169654
agriculture,matched,12.5,10.0,0.013172875992319514,0.0,correlated,0.020933971568316858,8.497698083523559e-06,0.005435404338963047,8.497698083523559e-06,0.0,0.0,0.0,0.0,10,169654
agriculture,matched,12.5,10.0,0.013172875992319514,0.0,white,0.04283823870074156,0.00013095206526572904,0.027339671471387755,0.00013095206526572898,0.0,0.0,0.0,0.0,10,169654
agriculture,matched,12.5,10.0,0.013172875992319514,0.001,correlated,0.020939124807138103,8.399851784496672e-06,0.005430644273052199,8.399851784496262e-06,4.760065910847447e-06,6.542404566350493e-07,0.022738264714977093,0.003123045416150557,10,169654
agriculture,matched,12.5,10.0,0.013172875992319514,0.001,white,0.04208312105928767,0.00012242153117213367,0.02657464052520177,0.0001224215311721333,0.0007650309461859843,9.86415541920097e-06,1.7858194410130195,0.018477579948521602,10,169654
agriculture,matched,12.5,10.0,0.013172875992319514,0.01,correlated,0.021016308230583647,8.582711428451366e-06,0.00538157383022429,8.582711428451505e-06,5.383050873875653e-05,3.707817785975336e-06,0.25714304708294417,0.017689177416390207,10,169654
agriculture,matched,12.5,10.0,0.013172875992319514,0.01,white,0.03726606616198388,7.77730697402232e-05,0.02163133176162452,7.777306974022401e-05,0.005708339709763233,6.311938874006141e-05,13.32507841608366,0.11166142363973344,10,169654
agriculture,matched,12.5,10.0,0.013172875992319514,0.1,correlated,0.02208470733559706,1.1210573534850642e-05,0.004896805991452045,1.1210573534850088e-05,0.0005385983475110018,8.721877823157642e-06,2.572841657837108,0.041513051088486165,10,169654
agriculture,matched,12.5,10.0,0.013172875992319514,0.1,white,0.02634060556243728,2.64687593525013e-05,0.009152704218292266,2.6468759352500605e-05,0.01818696725309549,0.0001307834051937342,42.45451640094164,0.1806270045011895,10,169654
agriculture,matched,12.5,10.0,0.013172875992319514,1.0,correlated,0.02574144246330748,2.5651094986278587e-05,0.003608798467753009,2.5651094986278417e-05,0.0018266058712100373,2.395525870305892e-05,8.725560705016365,0.11458022589814444,10,169654
agriculture,matched,12.5,10.0,0.013172875992319514,1.0,white,0.02422998050031769,2.426169510633947e-05,0.002097336504763223,2.4261695106339035e-05,0.02524233496662453,0.00013534931684499772,58.92441221388958,0.14278522024544918,10,169654
agriculture,matched,12.5,20.0,0.006586437996159757,0.0,correlated,0.017025038767448646,5.647936032772788e-06,0.0015264715380948334,5.647936032773833e-06,0.0,0.0,0.0,0.0,10,169654
agriculture,matched,12.5,20.0,0.006586437996159757,0.0,white,0.02526259202900321,3.2607462367151396e-05,0.009764024799649402,3.260746236715087e-05,0.0,0.0,0.0,0.0,10,169654
agriculture,matched,12.5,20.0,0.006586437996159757,0.001,correlated,0.0170331655959811,5.4495761502328845e-06,0.0015246850618951951,5.449576150234138e-06,1.7864761996382039e-06,3.793587108157909e-07,0.01049286538904905,0.0022262301298721543,10,169654
agriculture,matched,12.5,20.0,0.006586437996159757,0.001,white,0.02495315415407385,3.02771577613281e-05,0.009444673619987942,3.0277157761328115e-05,0.000319351179661459,3.5283542687804546e-06,1.2641174167565892,0.01289639689864071,10,169654
agriculture,matched,12.5,20.0,0.006586437996159757,0.01,correlated,0.017142254831817434,4.861395054793968e-06,0.0015075204314580748,4.861395054793749e-06,1.8951106636758487e-05,2.1354910013255736e-06,0.111311168314901,0.01252284972904006,10,169654
agriculture,matched,12.5,20.0,0.006586437996159757,0.01,white,0.0230434993988551,2.0155678233664468e-05,0.007408764998495741,2.0155678233663892e-05,0.00235525980115366,2.325447508848292e-05,9.323041719154233,0.08289105181021729,10,169654
agriculture,matched,12.5,20.0,0.006586437996159757,0.1,correlated,0.018537764921994725,5.946643422920963e-06,0.0013498635778497127,5.9466434229206004e-06,0.00017660796024512073,4.722866752436677e-06,1.0373396633555056,0.027617221658107996,10,169654
agriculture,matched,12.5,20.0,0.006586437996159757,0.1,white,0.01988469964086077,1.9462038085493666e-05,0.002696798296715756,1.946203808549392e-05,0.007067226502933645,4.430269151269515e-05,27.97492012931416,0.1430427832610793,10,169654
agriculture,matched,12.5,20.0,0.006586437996159757,1.0,correlated,0.023097647881841522,1.2425518569620644e-05,0.0009650038862870521,1.2425518569619483e-05,0.0005614676518077812,1.1936492447715556e-05,3.2978907542937916,0.06994430463628519,10,169654
