Scene,Comparison,PSF-aware RMSE,PSF-aware +50% RMSE,PSF-aware -50% RMSE,Richardson-Lucy RMSE,Nearest RMSE,Bilinear RMSE,Bicubic RMSE
urban,Estimated vs. ESRI no-PSF,0.0683953337018464,0.14261245950745932,0.0979903450581378,0.08223443747855104,0.10564315178762616,0.10505278589104973,0.09601043836542238
urban,Estimated vs. ESRI PSF,0.05251911560943044,0.1801074460427677,0.031089346756733867,0.018928616163841675,0.04202336795949824,0.024432776507700114,0.013537064224721592
urban,ESRI PSF vs. ESRI no-PSF (degradation),0.08589315775201237,,,,,,
water,Estimated vs. ESRI no-PSF,0.02126677823433567,0.04477768529151198,0.031562527645668005,0.02567586354668731,0.03409674737412713,0.033633127863653474,0.030425000098804507
water,Estimated vs. ESRI PSF,0.01683273119443156,0.05755137228286232,0.010922586079220661,0.006574384643151724,0.01463345888944562,0.008216073646319105,0.004350784578048787
water,ESRI PSF vs. ESRI no-PSF (degradation),0.0273194865412937,,,,,,
forest,Estimated vs. ESRI no-PSF,0.024160889255595355,0.046307435517087735,0.0333494660991148,0.028361748869206452,0.036316897414161345,0.035445655923998565,0.0325748993159192
forest,Estimated vs. ESRI PSF,0.017111419891651145,0.05719218226537713,0.010520314777070737,0.006383944771198222,0.015368823396991096,0.007989942497643503,0.004358829085064702
forest,ESRI PSF vs. ESRI no-PSF (degradation),0.029423457613925886,,,,,,
agriculture,Estimated vs. ESRI no-PSF,0.015508480906568655,0.03076448003754795,0.022408396343367366,0.01843588008820891,0.025462684013416635,0.023764762762972368,0.02138358144043111
agriculture,Estimated vs. ESRI PSF,0.011680949424865479,0.039218700346904146,0.008588766262743398,0.00499649623284975,0.013427149950812607,0.006024894517071574,0.003049672585075563
agriculture,ESRI PSF vs. ESRI no-PSF (degradation),0.019107733259534986,,,,,,
